Symbol,Company Name,Industry,Series
SPTL,Sintex Plastics Technology Ltd.,INDUSTRIAL MANUFACTURING,EQ
SOBHA,Sobha Ltd.,CONSTRUCTION,EQ
SOLARINDS,Solar Industries India Ltd.,CHEMICALS,EQ
SONATSOFTW,Sonata Software Ltd.,IT,EQ
SOUTHBANK,South Indian Bank Ltd.,FINANCIAL SERVICES,EQ
STARCEMENT,Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ
SBIN,State Bank of India,FINANCIAL SERVICES,EQ
SAIL,Steel Authority of India Ltd.,METALS,EQ
STRTECH,Sterlite Technologies Ltd.,TELECOM,EQ
STAR,Strides Pharma Science Ltd.,PHARMA,EQ
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,CHEMICALS,EQ
SPARC,Sun Pharma Advanced Research Company Ltd.,PHARMA,EQ
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,EQ
SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,EQ
SUNCLAYLTD,Sundaram Clayton Ltd.,AUTOMOBILE,EQ
SUNDARMFIN,Sundaram Finance Ltd.,FINANCIAL SERVICES,EQ
SUNDRMFAST,Sundram Fasteners Ltd.,AUTOMOBILE,EQ
SUNTECK,Sunteck Realty Ltd.,CONSTRUCTION,EQ
SUPRAJIT,Suprajit Engineering Ltd.,AUTOMOBILE,EQ
SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ
SUVEN,Suven Life Sciences Ltd.,PHARMA,EQ
SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,EQ
SWANENERGY,Swan Energy Ltd.,TEXTILES,EQ
SYMPHONY,Symphony Ltd.,CONSUMER GOODS,EQ
SYNDIBANK,Syndicate Bank,FINANCIAL SERVICES,EQ
SYNGENE,Syngene International Ltd.,PHARMA,EQ
TCNSBRANDS,TCNS Clothing Co. Ltd.,TEXTILES,EQ
TTKPRESTIG,TTK Prestige Ltd.,CONSUMER GOODS,EQ
TVTODAY,TV Today Network Ltd.,MEDIA & ENTERTAINMENT,EQ
TV18BRDCST,TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,EQ
TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE,EQ
TAKE,Take Solutions Ltd.,PHARMA,EQ
TNPL,Tamil Nadu Newsprint & Papers Ltd.,PAPER,EQ
TATACHEM,Tata Chemicals Ltd.,CHEMICALS,EQ
TATACOFFEE,Tata Coffee Ltd.,CONSUMER GOODS,EQ
TCS,Tata Consultancy Services Ltd.,IT,EQ
TATAELXSI,Tata Elxsi Ltd.,IT,EQ
TATAGLOBAL,Tata Global Beverages Ltd.,CONSUMER GOODS,EQ
TATAINVEST,Tata Investment Corporation Ltd.,FINANCIAL SERVICES,EQ
TATAMTRDVR,Tata Motors Ltd DVR,AUTOMOBILE,EQ
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,EQ
TATAPOWER,Tata Power Co. Ltd.,ENERGY,EQ
TATASTEEL,Tata Steel Ltd.,METALS,EQ
TEAMLEASE,Teamlease Services Ltd.,SERVICES,EQ
TECHM,Tech Mahindra Ltd.,IT,EQ
NIACL,The New India Assurance Company Ltd.,FINANCIAL SERVICES,EQ
RAMCOCEM,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ
THERMAX,Thermax Ltd.,INDUSTRIAL MANUFACTURING,EQ
THOMASCOOK,Thomas Cook (India) Ltd.,SERVICES,EQ
THYROCARE,Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,EQ
TIMETECHNO,Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,EQ
TIMKEN,Timken India Ltd.,INDUSTRIAL MANUFACTURING,EQ
TITAN,Titan Company Ltd.,CONSUMER GOODS,EQ
TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMA,EQ
TORNTPOWER,Torrent Power Ltd.,ENERGY,EQ
TRENT,Trent Ltd.,CONSUMER GOODS,EQ
TRIDENT,Trident Ltd.,TEXTILES,EQ
TRITURBINE,Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,EQ
TIINDIA,Tube Investments of India Ltd.,AUTOMOBILE,EQ
UCOBANK,UCO Bank,FINANCIAL SERVICES,EQ
UFLEX,UFLEX Ltd.,INDUSTRIAL MANUFACTURING,EQ
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,EQ
UJJIVAN,Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,EQ
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ
UNIONBANK,Union Bank of India,FINANCIAL SERVICES,EQ
UBL,United Breweries Ltd.,CONSUMER GOODS,EQ
MCDOWELL-N,United Spirits Ltd.,CONSUMER GOODS,EQ
VGUARD,V-Guard Industries Ltd.,CONSUMER GOODS,EQ
VMART,V-Mart Retail Ltd.,CONSUMER GOODS,EQ
VIPIND,V.I.P. Industries Ltd.,CONSUMER GOODS,EQ
VRLLOG,VRL Logistics Ltd.,SERVICES,EQ
VSTIND,VST Industries Ltd.,CONSUMER GOODS,EQ
